id,theme,titre,date_publication,url,module_bie,usage
erepertoire_v26_3,Prix de référence,e-Répertoire des prix de référence — 19e édition v26.3 (DNCF),2026-07-06,https://erepertoire.finances.bj/documents/16/download,Costing,"CHARGÉ : 10 093 articles avec BI/BS et code arrimé NBE/PCE/PCME"
produits_locaux_2026,Prix de référence,Liste des produits fabriqués localement disponibles dans l'e-Répertoire v26.3,2026-09-13,https://erepertoire.finances.bj/documents/17/download,Costing / Procurement,"Préférence nationale : repérer les articles de fabrication locale"
erepertoire_documents,Prix de référence,Page des éditions successives de l'e-Répertoire (v23.0 → v26.3),2026-09,https://erepertoire.finances.bj/documents,Costing,"Historique des prix (Historical Cost Intelligence) ; versions trimestrielles"
dppd_2026_2028,Programmation,DPPD 2026-2028 des 21 ministères (version LF),2026-01-01,https://budgetbenin.bj/wp-content/uploads/2026/01/DPPD-2026-2028-MS-LF.pdf,Programmatic / Performance,"Exemple MS ; un fichier par ministère (MAE, MEF, MS…) : objectifs, actions, indicateurs"
dppd_2027_2029,Programmation,DPPD initiaux 2027-2029 (v1),2026-06-09,https://budgetbenin.bj/wp-content/uploads/2026/06/DPPD_MS_v12027A1.pdf,Programmatic,"Exemple MS ; programmation en cours d'élaboration"
pap_2026,Performance,PAP 2026 des ministères (version LF),2025-12-30,https://budgetbenin.bj/wp-content/uploads/2025/12/PAP-VLF-MS-2026.pdf,Performance,"Exemple MS : programmes, actions, structures de mise en œuvre, indicateurs (unité, référence, historique, cibles, méthode de calcul) — édités par SIGFP"
dpbep_2027_2029,Programmation,DPBEP 2027-2029 — document principal,2026-06-05,https://budgetbenin.bj/wp-content/uploads/2026/06/DPBEP_Principal_2027-2029.pdf,Strategy / Budget,"Cadrage macro-budgétaire pluriannuel"
pip_2026_2028,Investissements,Programme d'Investissement Public 2026-2028,2026-01-01,https://budgetbenin.bj/wp-content/uploads/2026/01/Programme-d-Investissement-public-2026-2028.pdf,Public Investment,"Portefeuille de projets, coûts, financements"
eligibilite_pip,Investissements,Rapport d'éligibilité des projets et programmes au PIP 2025-2027,2024-11-16,https://budgetbenin.bj/wp-content/uploads/2024/11/RAPPORT-ELIGIBILITE-DES-PROJETS-ET-PRORAMMES-AU-PIP-2025-2027.pdf,Public Investment,"Critères de maturité réellement appliqués"
lf_2026_citoyen,Budget,Loi de finances 2026 — version citoyenne,2026-01-22,https://budgetbenin.bj/wp-content/uploads/2026/01/LF-2026_Citoyen.pdf,Reporting,"Présentation grand public du budget"
lfr_2026,Budget,Loi n°2026-10 du 24 juin 2026 portant loi de finances rectificative 2026,2026-09-17,https://budgetbenin.bj/wp-content/uploads/2026/09/LOI-N_2026_10-DU-24-JUIN-2026-PORTANT-LOI-DE-FINANCES-RECTIFICATIVE-POUR-LA-GESTION-2026.pdf,Budget (révisions),"Révision des enveloppes 2026"
plan_tresorerie_2026,Trésorerie,Plan de trésorerie prévisionnel et mensualisé 2026,2025-12-29,https://budgetbenin.bj/wp-content/uploads/2025/12/Plan-de-Trsorerie-prvisionnel-et-mensualis-2026.pdf,Treasury / PCC,"Profil mensuel de référence pour le PCC"
rapport_execution_q1_2026,Exécution,Rapport d'exécution au 31 mars de la LF 2026 (version citoyenne),2026-06-30,https://budgetbenin.bj/wp-content/uploads/2026/06/RAPPORT-D_EXECUTION-AU-31-MARS-DE-LA-LOI-DE-FINANCES-2026-version-du-citoyen.pdf,Monitoring,"Indicateurs d'exécution publiés"
rapport_fin_annee_2025,Exécution,Tableaux statistiques du rapport de fin d'année 2025,2026-07-08,https://budgetbenin.bj/wp-content/uploads/2026/07/Tableaux-statistiques-du-Rapport-de-fin-dannee-2025.xlsx,Monitoring / Data,"Séries d'exécution par programme (données structurées)"
revue_pta_2024,Suivi PTA,Rapport de l'atelier de revue de performance du PTA 2024 au 30 juin (MASM),2024-12-31,https://budgetbenin.bj/wp-content/uploads/2024/12/Rapport-atelier-revue-perf-PTA-2024-30-6-24.pdf,Monitoring,"Mesures en usage : taux d'exécution physique, taux d'engagement, taux d'ordonnancement, suivi des recommandations"
pta_dcfp_2021,Suivi PTA,PTA 2021 du Centre de formation (DCFP) — exemple réel de PTA activité → tâches,2021-09-08,https://budgetbenin.bj/wp-content/uploads/2021/09/DCFP_PTA_2021.pdf,Planning,"Structure activité / tâches / période / responsable / observations"
conference_performance_2025,Performance,Rapport général de la conférence de performance 2025,2024-07-17,https://budgetbenin.bj/wp-content/uploads/2024/07/RAPPORT-GENERAL-DE-LA-CONFERENCE-DE-PERFORMANCE-2025-V2.pdf,Performance (Conference Workspace),"Déroulé réel des conférences, décisions et recommandations"
bbp_benin_2025,Performance,Budgétisation basée sur la performance : l'expérience du Bénin,2025-03-20,https://budgetbenin.bj/wp-content/uploads/2025/03/2025-Budgetisation-basee-sur-la-performance-experience-du-Benin-vf.pdf,Performance,"Retour d'expérience et chantiers ouverts"
referentiel_bsg,Genre,Référentiel de budgétisation sensible au genre (BSG) V02-08-23,2024-07-12,https://budgetbenin.bj/wp-content/uploads/2024/07/Referentiel-BSG-V02-08-23.pdf,Performance (dimensions transversales),"Marquage genre des activités et indicateurs désagrégés"
rapex_2022_annexe,Exécution,Annexe RAPEX au 31-12-2022 (Excel),2023-03-30,https://budgetbenin.bj/wp-content/uploads/2023/03/Annexe-RAPEX-31-12-22.xlsx,Monitoring / Data,"Format d'exécution budgétaire lisible par machine"
